¿Cómo estás? | How are you?
Ha pasado un tiempo desde que vi una buena película. | It's been a while since I've seen a good movie.
Pensé que era un poco predecible. | I thought it was a little predictable.
La actuación podría haber sido mejor. | The acting could have been better.
Esperaría a que salga en vídeo. | I'd wait until it comes out on video.
No era en absoluto lo que esperaba. | It wasn't at all what I expected.
Se veía mucho mejor en las vistas previas. | It looked much better in the previews.
Fue tan malo que me fui. | It was so bad I walked out.
Quería que me devolvieran mi dinero. | I wanted my money back.
Tuvo sus momentos. | It had its moments.
Hay una escena que tienes que ver. | There's this one scene you have to see.
Tenía buenos efectos especiales. | It had good special effects.
Estaba al borde de mi asiento. | I was on the edge of my seat.
Estaba pegado a mi asiento. | I was glued to my seat.
No podía dejar de reír. | I couldn't stop laughing.
Me reí tanto que lloré. | I laughed so hard I cried.
Tomó un tiempo ponerse en marcha. | It took a while to get going.
No os cuento lo que pasa al final porque lo estropearía. | I won't tell you what happens at the end because it will spoil it.
Robert de Niro fue excelente. | Robert de Niro was excellent.
Tenía una trama delgada. | It had a thin plot.
Hola, ¿puedo hablar con Silvia, por favor? | Hi, may I speak to Silvia, please?
Hola, ¿Silvia está ahí? | Hi, is Silvia there?
¿Estás ocupado? | Are you busy?
¿Pasé un mal momento? | Did I catch a bad time?
¿Recibiste mi mensaje? | Did you get my message?
¿Quién llama, por favor? | Who's calling, please?
Me alegra que hayas llamado. | I'm glad you called.
Recibí tu mensaje, gracias. | I got your message, thanks.
Estaba esperando tu llamada. | I've been expecting your call.
¿Puedes esperar un segundo? | Can you hang on just a second?
Tengo otra llamada. | I have another call.
¿Puedes oírme bien? | Can you hear me OK?
¿Puedo devolverte la llamada? | Can I call you back?
¿Quieres que te devuelva la llamada? | Do you want me to call you back?
Esta llamada debe estar costándote una fortuna. | This call must be costing you a fortune.
Estoy como en medio de algo ahora mismo. | I'm kind of in the middle of something right now.
¿Sabes qué? | Oh, you know what?
Tengo que irme. | I have to go.
Lo sentimos, nos cortaron. | Sorry, we got cut off.
Creo que tenemos una mala línea. | I think we got a bad line.
Apenas puedo oírte. | I can barely hear you.
Estoy recibiendo un eco. | I'm getting an echo.
Lo siento, te extrañé. | Sorry I missed you.
Creo que me estás evitando. | I think you're avoiding me.
Bueno, supongo que todavía estás en el trabajo. | Well, I guess you're still at work.
Llámame cuando tengas la oportunidad. | Give me a call when you get a chance.
Intentaré llamarte más tarde. | I'll try calling you back later.
¿Quieres dejar un mensaje? | Would you like to leave a message?
Déjame conseguir un bolígrafo. | Let me get a pen.
Entonces, ¿dónde nos encontramos? | So where do we meet?
Puedo recogerte en tu hotel. | I can pick you up at your hotel.
¿A qué hora puedo recogerte? | What time can I pick you up?
Podríamos encontrarnos allí. | We could meet there.
Creo que me estoy enfermando de algo. | I think I'm coming down with something.
Creo que me estoy resfriando. | I think I'm catching a cold.
He estado luchando contra un resfriado. | I've been fighting off a cold.
No te ves muy bien. | You don't look very well.
Te ves un poco pálido. | You look a little pale.
Quizás deberías irte a casa. | Maybe you should go home.
Vete a casa y descansa. | Go home and rest.
Me siento un poco mal. | I'm feeling a little under the weather.
¿Hay algo que pueda hacer? | Is there anything I can do?
¿Cómo te sientes? | How are you feeling?
Sé cómo te sientes. | I know how you feel.
Me imagino cómo debes sentirte. | I can imagine how you must feel.
Sólo necesitas descansar. | You just need to rest.
Espero que te sientas mejor. | I hope you feel better.
Me estoy recuperando de un resfriado. | I'm just getting over a cold.
¿Te sientes mejor? | Are you feeling any better?
Te ves mejor. | You look better.
Tengo buenas noticias. | I have some good news.
Sucedió tan rápido. | It happened so fast.
Me quedé en shock. | I was shocked.
¿Puedes creer eso? | Can you believe that?
¿Te imaginas? | Can you imagine?
¿Te imaginas cómo me sentí? | Can you imagine the way I felt?
En ese momento me pareció una buena idea. | It seemed like a good idea at the time.
No lo hubiera creído. | I wouldn't have believed it.
Parecía sacado de una película. | It was right out of a movie.
Sólo te estoy haciendo pasar un mal rato. | I'm just giving you a hard time.
Sólo te estoy tomando el pelo. | I'm just pulling your leg.
Ya veo lo que quieres decir. | I see what you mean.
Te entiendo completamente. | I understand you completely.
Ahora lo entiendo. | Now I get it.
Lo siento, no lo entiendo. | I'm sorry, I don't understand.
No estoy seguro de haberlo entendido. | I'm not sure if I understand.
Todavía no entiendo muy bien a qué te refieres exactamente. | I still don't quite understand what you mean exactly.
¿Ves lo que quiero decir? | Do you see what I mean?
¿Usted sabe lo que quiero decir? | You know what I mean?
¿Ves lo que estoy diciendo? | Do you see what I'm saying?
Creo que tal vez no estoy siendo muy claro. | I think maybe I'm not being very clear.
No dejes que te afecte. | Don't let it get to you.
Las cosas tienen una manera de resolverse por sí solas. | Things have a way of working themselves out.
Vamos a arreglar todo esto. | We're going to straighten this all out.
Podría ser mucho peor. | It could be a lot worse.
He estado allí antes. | I've been there before.
Sé lo que quieres decir. | I know what you mean.
Sé que no puede ser fácil. | I know it can't be easy.
Eso debe haber sido horrible. | That must have been horrible.
Lo sé. | I know.
Las apariencias pueden engañar. | Looks can be deceiving.
A caballo regalado no le mires el diente. | Don't look a gift horse in the mouth.
La hierba siempre es más verde del otro lado. | The grass is always greener on the other side.
Los negocios son los negocios. | Business is business.
Cada nube tiene un lado positivo. | Every cloud has a silver lining.
No sirve de nada llorar sobre la leche derramada. | No use crying over spilt milk.
No dejes para mañana lo que puedes hacer hoy. | Don't leave for tomorrow what you can do today.
Haz con los demás lo que te gustaría que te hicieran a ti. | Do unto others as you would have them do unto you.
Eres tan viejo como te sientes. | You're only as old as you feel.
Si quieres que algo se haga bien, tienes que hacerlo tú mismo. | If you want something done right, you have to do it yourself.
Dos cabezas piensan mejor que una. | Two heads are better than one.
Más vale pájaro en mano que ciento volando. | A bird in the hand is worth two in the bush.
Es mejor prevenir que lamentar. | It's better to be safe than sorry.
Las cosas buenas les llegan a quienes esperan. | Good things come to those who wait.
Cuando el gato no esté, los ratones jugarán. | When the cat's away, the mice will play.
No hagas una montaña con un grano de arena. | Don't make a mountain out of molehill.
La ausencia hace que el corazón se vuelva más cariñoso. | Absence makes the heart grow fonder.
¿Puedo preguntar a qué se refiere esto? | May I ask what this is regarding?
¿Puedes aguantar? | Can you hold?
Te estoy haciendo pasar. | I'm putting you through.
Lo siento, no tengo esa información. | Sorry, I don't have that information.
Está esperando mi llamada. | He's expecting my call.
Contabilidad, por favor. | Accounting, please.
¿Y cuál era tu nombre? | And what was your name?
¿Es este un buen momento? | Is this a good time?
¿Te pillé en un mal momento? | Did I catch you at a bad time?
Podemos lidiar con esto. | We can deal with this.
¿Tienes idea de cuánto tiempo más va a tardar? | Do you have any idea how much longer it's going to be?
Realmente lo apreciaría. | I would really appreciate that.
¿Hablas portugués? | Do you speak Portuguese?
¿Aceptas tarjetas de crédito? | Do you take credit cards?
Lo siento, no lo entiendo. | Sorry, I don't understand.
¿Puedes escribirme eso, por favor? | Can you write that for me, please?
No hablo inglés. | I don't speak English.
Necesito un médico. | I need a doctor.
Estoy intentando llamar a Brasil. | I'm trying to call Brazil.
Quiero hacer una llamada por cobrar. | I want to make a collect call.
Quiero usar mi tarjeta telefónica. | I want to use my calling card.
Operador, nos cortaron el paso. | Operator, we were cut off.
Tengo una reservación. | I have a reservation.
¿Cuánto cuesta eso por noche? | How much is that a night?
¿La habitación tiene televisión por cable? | Does the room have cable TV?
¿Hay un baño en la habitación? | Is there a bathroom in the room?
¿Tiene vistas? | Does it have a view?
¿A qué hora es el check-out? | What time is check-out?
¿Cómo consigo una línea exterior? | How do I get an outside line?
¿Puedo dejar mis maletas en la recepción? | Can I leave my bags at the front desk?
¿Puedo dejar mis objetos de valor en la caja fuerte? | Can I leave my valuables in the safe?
¿Dónde está la oficina más cercana? | Where is the nearest office?
¿Tengo algún mensaje? | Do I have any messages?
¿Podría conseguir que alguien lo arregle, por favor? | Could I get someone to fix it, please?
Me gustaría cambiar de habitación, por favor. | I'd like to change rooms, please.
Me gustaría dejar la habitación un día más, por favor. | I'd like to keep the room an extra day, please.
Me gustaría comprobarlo, por favor. | I'd like to check out, please.
Esta es la habitación 22. | This is room 22.
Solo estoy mirando, gracias. | I'm just looking, thanks.
¿Aceptas American Express? | Do you take American Express?
¿Aceptan cheques de viajero? | Do you take traveler's checks?
Vi una chaqueta en la ventana. | I saw a jacket in the window.
¿Puedo enviar esto a Brasil? | Can I have this sent to Brazil?
¿Puedo envolverlo para regalo? | Can I have this gift-wrapped?
¿Dónde están tus probadores? | Where are your fitting rooms?
¿Cuáles son tus horarios? | What are your hours?
¿A que hora cierra? | When do you close?
¿Estás abierto los fines de semana? | Are you open on weekends?
¿Cuánto tiempo tardará? | How long will it take?
Disculpe donde pago? | Excuse me, where do I pay?
Me gustaría comprar esto, por favor. | I'd like to purchase this, please.
¿Puedo darme un recibo, por favor? | Can I have a receipt, please?
Me gustaría cambiar algo de moneda brasileña. | I'd like to exchange some Brazilian currency.
Me gustaría hacer un depósito. | I'd like to make a deposit.
Me gustaría hacer un retiro. | I'd like to make a withdrawal.
Me gustaría transferir dinero. | I'd like to transfer money.
Me gustaría comprar un giro postal. | I'd like to buy a money order.
¿Ofrecen protección contra sobregiros? | Do you offer overdraft protection?
¿Qué necesito hacer para obtener una tarjeta de crédito? | What do I need to do to get a credit card?
¿Puedo acceder a mi cuenta a través de Internet? | Can I access my account through the internet?
Entiendes inglés. | You understand English.
Disculpe señorita, ¿entiende portugués? | Excuse me, miss, do you understand Portuguese?
Entiendo un poco de inglés. | I understand a little English.
No entiendo portugués. | I don't understand Portuguese.
¿Eres brasileño? | Are you Brazilian?
¿Entiendes inglés? | Do you understand English?
¿Entiendes portugués? | Do you understand Portuguese?
¿Lo entiendes? | Do you understand?
No, no lo entiendo. | No, I don't understand.
Entiendo. | I understand.
Entiendo portugués. | I understand Portuguese.
¿Entiende portugués, señorita? | Do you understand Portuguese, miss?
No entiendo. | I don't understand.
Entiendo inglés. | I understand English.
No entiendo inglés. | I don't understand English.
Entiendo un poco. | I understand a little.
Entiendo un poco de portugués. | I understand a little Portuguese.
Sí, eres brasileño. | Yes, you are Brazilian.
Lo entiendo muy bien. | I understand very well.
Entiendo muy bien el portugués. | I understand Portuguese very well.
Hola señor. ¿Cómo estás? | Hello, sir. How are you?
¿Entiendes inglés? | Oh, you understand English?
¡Pero entiendes muy bien el inglés! | But you understand English very well!
¿Es usted brasileño, señor? | Are you Brazilian, sir?
Disculpe, no entiendo. | Excuse me, I don't understand.
Entiendo un poco, pero no muy bien. | I understand a little, but not very well.
¿Eres americano? | Are you American?
Oh si, hablas muy bien. | Oh yes, you speak very well.
Pero no hablo portugués. | But I don't speak Portuguese.
Lo siento, no hablo portugués. | I'm sorry, I don't speak Portuguese.
Ah, sí, lo entiendes muy bien. | Oh yes, you understand very well.
¿Dónde está Calle 52 este? | Where is East 52nd Street?
¿No eres brasileño? | Aren't you Brazilian?
¿Está aquí? | Is it here?
Park Avenue está aquí. | Park Avenue is here.
Y Park Avenue está aquí. | And Park Avenue is here.
De nada. | You are welcome.
Hola, ¿entiendes portugués? | Hello, do you understand Portuguese?
Entiendo un poco y hablo un poco. | I understand a little, and I speak a little.
Y tú, ¿entiendes inglés? | And you, do you understand English?
Pero hablas inglés muy bien. | But you speak English very well.
Entiendes muy bien el inglés. | You understand English very well.
Disculpe, ¿dónde está la calle 52 Este, por favor? | Excuse me, where is East 52nd Street, please?
¿Dónde está Park Avenue, por favor? | Where is Park Avenue, please?
La calle 52 Este no está por ahí. | East 52nd street is not over there.
¿Dónde está la calle 52 Este, por favor? | Where is East 52nd Street, please?
Park Avenue está por allí. | Park Avenue is over there.
Pero la calle 52 Este está aquí. | But East 52nd Street is here.
La calle 52 este está aquí. | East 52nd Street is here.
¿Sabes dónde hay un buen restaurante? | Do you know where there is a good restaurant?
East 52nd Street no está aquí, pero Park Avenue sí. | East 52nd Street is not here, but Park Avenue is here.
Disculpe, señorita. ¿Dónde está la calle 52 Este, por favor? | Excuse me, miss. Where is East 52nd Street, please?
No sé. | I don't know.
¿Dónde está Park Street, por favor? | Where is Park Street, please?
Ah, sí, lo sé. | Oh, yes, I know.
¿Sabes? | Do you know?
No, no lo sé. | No, I don't know.
Lo siento, no lo sé. | I'm sorry, I don't know.
No quiero. | I don't want.
Me gustaría algo de comer. | I would like something to eat.
¿Quieres? | Do you want?
¿Quieres algo de beber? | Would you like something to drink?
No, gracias, pero me gustaría algo de comer. | No, thanks, but I would like something to eat.
Quiero algo de comer. | I want something to eat.
Quieres algo de comer. | You would like something to eat.
Sí, me gustaría comer algo. | Yes, I would like something to eat.
Me gustaría algo de beber, por favor. | I would like something to drink, please.
No quiero comer. | I don't want to eat.
Hablas inglés muy bien. | You speak English very well.
A mí también me gustaría algo de beber. | I'd like something to drink too.
¿Quieres algo de comer? | Do you want something to eat?
¿Quieres algo de comer? | Would you like something to eat?
¿Dónde te gustaría comer? | Where would you like to eat?
A mí también me gustaría comer. | I'd like to eat too.
¿Cuándo te gustaría comer? | When would you like to eat?
Sí, lo haría. | Yes, I would.
A mí también me gustaría comer algo. | I'd like something to eat too.
No, gracias, pero me gustaría comer. | No, thank you, but I'd like to eat.
Me gustaría comer ahora. | I'd like to eat now.
¿Cuándo le gustaría comer, señorita? | When would you like to eat, miss?
¿A ti también te gustaría comer? | Would you like to eat too?
Pero me gustaría algo de beber. | But I'd like something to drink.
Quiero comer más tarde. | I want to eat later.
¿Qué te gustaría comer? | What would you like to eat?
Bien, ¿qué te gustaría beber? | OK, what would you like to drink?
No sé. ¿Y tú? | I don't know. And you?
¿No quieres comer? | Don't you want to eat?
Me gustaría un poco de vino, pero más tarde. | I'd like some wine, but later.
¿Qué le gustaría beber? | What would you like to drink?
Pero ahora me gustaría tomar algo. | But I'd like something to drink now.
Me gustaría un poco de vino. | I'd like some wine.
Me gustaría una cerveza. | I'd like a beer.
Pero me gustaría un poco de vino. | But I would like some wine.
Me gustaría algo de comer. | I'd like something to eat.
Me gustaría algo de beber. | I'd like something to drink.
¿Quieres algo de beber también? | Would you like something to drink too?
Pero me gustaría algo de comer. | But I would like something to eat.
¿Quieres comer ahora? | Would you like to eat now?
Sí, me gustaría almorzar. | Yes, I'd like to have lunch.
¿Dónde te gustaría almorzar? | Where would you like to have lunch?
Me gustaría hacer algo. | I'd like to do something.
¿Qué te gustaría hacer? | What would you like to do?
¿Quieres almorzar? | Would you like to have lunch?
A mí también me gustaría almorzar. | I'd like to have lunch too.
Sí, me gustaría comprar algo. | Yes, I'd like to buy something.
Me gustaría comprar un poco de vino. | I'd like to buy some wine.
¿Quieres algo de beber ahora? | Would you like something to drink now?
¿Cuándo quieres tomar algo? | When would you like something to drink?
¿Quieres una cerveza? | Would you like a beer?
Hola, ¿cómo está señor? | Hello, how are you, sir?
Y a ti, ¿te apetece tomar algo? | And you, would you like to have something to drink?
¿Dónde está el restaurante Park Avenue? | Where is the Park Avenue restaurant?
¿Qué quieres comer? | What do you want to eat?
¿Qué es lo que quieres hacer? | What do you want to do?
Me gustaría almorzar. | I'd like to have lunch.
Sí, lo sé. | Yes, I know.
¿Qué quieres beber? | What do you want to drink?
Me gustaría tomar algo de beber. | I'd like to have something to drink.
¿Quieres una cerveza también? | Would you like a beer too?
Pero a mí me gustaría comer algo ¿y a ti? | But I'd like something to eat, and you?
Me gustaría comprar algo. | I'd like to buy something.
¿Sabes dónde está el hotel? | Do you know where the hotel is?
¿Quieres comer algo conmigo? | Would you like to have something to eat with me?
No quiero almorzar contigo. | I don't want to have lunch with you.
¿Te gustaría almorzar conmigo? | Would you like to have lunch with me?
Me gustaría tomar algo contigo. | I'd like to have something to drink with you.
Me gustaría comer algo. | I'd like to have something to eat.
¿Sabes dónde está el restaurante? | Do you know where the restaurant is?
¿Dónde está el restaurante? | Where is the restaurant?
¿Son las cuatro? | Is it four o'clock?
¿Vas a almorzar ahora? | Are you going to have lunch now?
No, voy a comer ahora. | No, I'm going to eat now.
¿Qué hora es ahora? | What time is it now?
¿Vas a comer? | Are you going to eat?
Voy a comer a las cinco. | I'm going to eat at five o'clock.
¿Vas a comer a las cinco? | Are you going to eat at five o'clock?
Mañana voy a cenar contigo. | Tomorrow I'm going to have dinner with you.
Me gustaría cenar contigo esta noche. | I'd like to have dinner with you tonight.
¿Te gustaría cenar conmigo esta noche? | Would you like to have dinner with me tonight?
¿Vas a tomar un poco de vino? | Are you going to have some wine?
No, voy a tomar una cerveza. | No, I'm going to have a beer.
¿Sabes qué hora es ahora? | Do you know what time it is now?
No voy a cenar hoy. | I'm not going to have dinner today.
¿Cuánto cuesta? | How much is it?
¿Quieres cinco dólares? | Do you want five dollars?
¿Son cinco dólares? | Is it five dollars?
¿Qué harás esta noche, María? | What are you doing tonight, Mary?
Voy a comer contigo. | I'm going to eat with you.
¿Cuándo te gustaría tomar un poco de vino? | When would you like to have some wine?
No voy a comer contigo mañana por la noche. | I'm not going to eat with you tomorrow night.
¿Cuánto tienes en dólares? | How much do you have in dollars?
Aquí tienes un dólar. | Here is one dollar.
Tengo catorce dólares. | I have fourteen dollars.
¿Tienes dieciséis dólares? | Do you have sixteen dollars?
No, tengo trece dólares. | No, I have thirteen dollars.
No tengo mucho dinero americano. | I don't have a lot of American money.
Tengo catorce dólares, pero no quince. | I have fourteen dollars, but not fifteen.
Tengo algo de dinero brasileño. | I have some Brazilian money.
Dame algo de dinero americano, por favor. | Give me some American money, please.
Aquí tienes dieciséis dólares. | Here is sixteen dollars.
No tengo dólares. | I don't have any dollars.
Por favor dame un dólar. | Please give me a dollar.
¿Tienes dinero americano? | Do you have any American money?
Voy a darte algo de dinero americano. | I'm going to give you some American money.
¿Adónde vas? | Where are you going?
Voy a un restaurante. | I'm going to a restaurant.
¿Tienes café? | Do you have any coffee?
Sí. | Yes, I do.
Tomo mucho café. | I have a lot of coffee.
Puedo darte catorce dólares. | I can give you fourteen dollars.
Por favor, dame diecinueve dólares. | Please give me nineteen dollars.
No puedo darte catorce dólares. | I can't give you fourteen dollars.
Tengo algunos dólares. | I have some dollars.
Tengo muchos dólares. | I have a lot of dollars.
¿Puedes darme algo de dinero? | Can you give me some money?
Voy a comprarte algo. | I'm going to buy something for you.
Dos y dos son cuatro. | Two and two is four.
¿Tres y ocho es cuánto? | Three and eight is how much?
Charles, ¿te gustaría cenar conmigo? | Charles, would you like to have dinner with me?
¿Es demasiado? | Is it too much?
¿Es suficiente? | Is it enough?
Tienes mucho. | You have a lot.
Voy al restaurante de la calle 52 Este. | I'm going to the restaurant at East 52nd Street.
¿Puedes almorzar conmigo? | Can you have lunch with me?
¿Dos y tres es cuanto? | Two and three is how much?
Veinticinco y once son treinta y seis. | Twenty-five and eleven is thirty-six.
¿Qué vas a hacer hoy? | What are you going to do today?
Voy a comprar algo. | I'm going to buy something.
No puedo dar sesenta dólares. | I can't give sixty dollars.
No tengo suficiente dinero. | I don't have enough money.
¿Cuanto tienes? | How much do you have?
Hablas muy rápido. | You speak very fast.
Lo siento, hablas demasiado rápido. | I'm sorry, you speak too fast.
No hablo demasiado rápido. | I don't speak too fast.
Sí, lo haces. | Yes, you do.
Hablas inglés muy rápido y no te entiendo. | You speak English very fast, and I don't understand.
¿Qué es? | What is it?
Voy a almorzar. | I'm going to have lunch.
¿Hablo demasiado rápido? | Do I speak too fast?
¿Tienes dinero? | Do you have any money?
tengo suficiente. | I have enough.
Puedo darte algo de dinero, pero no puedo darte mucho. | I can give you some money, but I can't give you a lot.
¿Tienes dólares para mí? | Do you have any dollars for me?
¿Es eso suficiente? | Is that enough?
¿Qué quiere hacer tu esposa? | What does your wife want to do?
A mi esposa le gustaría comer algo. | My wife would like something to eat.
Sí, lo es. | Yes, it is.
¿Tu esposa quiere algo de beber? | Does your wife want something to drink?
¿Quién es ese? | Who is that?
Mi esposa está allí. | My wife is over there.
A mi esposa le gustaría tomar algo. | My wife would like something to drink.
Mi marido quiere un poco de agua. | My husband would like some water.
Me gustaría un poco de café. | I'd like some coffee.
A mi marido le gustaría un poco de café. | My husband would like some coffee.
Tu esposa está aquí. | Your wife is here.
¿Tu esposa también habla rápido? | Does your wife speak fast too?
Tu esposa no está aquí. | Your wife isn't here.
Te voy a dar cincuenta y tres dólares. | I'm going to give you fifty-three dollars.
¿Está ella por ahí? | Is she over there?
No, ella está aquí. | No, she is here.
Le gustaría un poco de café. | He'd like some coffee.
¿Quién es? | Who is it?
Entra, por favor. | Come in, please.
Estoy encantado de conocerte. | I'm pleased to meet you.
Entra. | Come in.
Encantado de conocerte. | Pleased to meet you.
¿Dónde vive? | Where do you live?
Vivo en Río de Janeiro. | I live in Rio de Janeiro.
¿Vives aquí? | Do you live here?
La cerveza es más cara aquí. | Beer is more expensive here.
Vivimos aquí. | We live here.
Vivimos en Río. | We live in Rio.
¿Qué quiere beber? | What does he want to drink?
¿Quiere un poco de agua? | Does he want some water?
¿O le gustaría un poco de café? | Or would he like some coffee?
Nos gustaría un poco de café. | We'd like some coffee.
¿Dónde está tu marido? | Where is your husband?
No sé dónde está. | I don't know where he is.
Mi marido y yo queremos un poco de agua, por favor. | My husband and I would like some water, please.
¿Tienes hijos? | Do you have any children?
No tenemos hijos. | We don't have any children.
¿Cuantos hijos tienes? | How many children do you have?
Tenemos tres hijos. | We have three children.
Tenemos dos niños y una niña. | We have two boys and one girl.
Nos gustaría un niño. | We'd like a boy.
Tenemos cinco hijos. | We have five children.
El niño es grande. | The boy is big.
¿La niña es grande? | Is the girl big?
Los chicos son grandes. | The boys are big.
Son grandes. | They are big.
¿Están aquí? | Are they here?
¿Tienes alguna chica? | Do you have any girls?
¿Dónde está? | Where is he?
Tenemos tres niñas. | We have three girls.
Mi marido está en Brasil con los niños. | My husband is in Brazil with the children.
Puedes esperar. | You can wait.
¿Puedes esperar? | Can you wait?
¿Los chicos son muy grandes? | Are the boys very big?
No queremos muchos hijos. | We don't want a lot of children.
Sí lo son. | Yes, they are.
Mi esposa y yo vivimos en Brasil con los niños. | My wife and I live in Brazil with the children.
Los niños están en Brasil. | The children are in Brazil.
Tenemos una junta a las diez. | We have a meeting at ten.
La junta se pospuso para mañana. | The meeting was postponed to tomorrow.
Voy a entrar a una junta ahora. | I am going into a meeting now.
La junta duró más de una hora. | The meeting lasted more than an hour.
¿A qué hora es la junta? | What time is the meeting?
Estoy en una junta, te llamo luego. | I am in a meeting, I will call you later.
La junta directiva aprobó el plan. | The board approved the plan.
Convocamos una junta urgente. | We called an urgent meeting.
La próxima junta es el viernes. | The next meeting is on Friday.
No pude asistir a la junta. | I could not attend the meeting.
La junta se realizó por videollamada. | The meeting was held by video call.
Prepararé la agenda de la junta. | I will prepare the meeting agenda.
Todos los gerentes van a la junta. | All the managers go to the meeting.
La junta terminó sin acuerdos. | The meeting ended without agreements.
Agendemos una junta la próxima semana. | Let us schedule a meeting next week.
La junta mensual es obligatoria. | The monthly meeting is mandatory.
Me perdí el inicio de la junta. | I missed the start of the meeting.
La junta se movió a otra sala. | The meeting was moved to another room.
Tomé notas durante la junta. | I took notes during the meeting.
La junta con el cliente salió bien. | The meeting with the client went well.
Tenemos dos juntas seguidas hoy. | We have two back-to-back meetings today.
Las juntas de los lunes son cortas. | Monday meetings are short.
Cancelaron todas las juntas de hoy. | They canceled all of today's meetings.
Las juntas largas cansan al equipo. | Long meetings tire the team out.
Programé tres juntas para el martes. | I scheduled three meetings for Tuesday.
La junta de resultados es trimestral. | The results meeting is quarterly.
Después de la junta, enviaré el acta. | After the meeting, I will send the minutes.
La junta se adelantó una hora. | The meeting was moved up an hour.
Necesito salir antes de que acabe la junta. | I need to leave before the meeting ends.
La junta de hoy fue muy productiva. | Today's meeting was very productive.

Vamos a resolverlo juntos. | We are going to solve it together.
Trabajamos mejor juntos. | We work better together.
Las dos áreas trabajan juntas. | The two areas work together.
Salimos juntos de la oficina. | We left the office together.
Ellas estudian juntas cada tarde. | They study together every afternoon.
Terminemos el informe juntos. | Let us finish the report together.
Estuvimos juntos en el proyecto. | We were together on the project.
Las piezas encajan juntas. | The pieces fit together.
Almorzamos juntos el viernes. | We had lunch together on Friday.
Todos juntos lo lograremos. | All together we will achieve it.

Yo reviso los datos y tú los apruebas. | I check the data and you approve it.
Él llegó tarde, pero ella llegó a tiempo. | He arrived late, but she arrived on time.
Nosotros preparamos todo, ellos solo firman. | We prepare everything, they just sign.
¿Usted es el gerente del área? | Are you the area manager?
Ellas coordinan y ellos ejecutan. | They coordinate and they execute.
Tú decides y yo te apoyo. | You decide and I support you.
Ustedes envían y nosotros revisamos. | You all send and we review.
Yo no fui, fue él. | It was not me, it was him.
Ella y yo trabajamos juntas. | She and I work together.
